method,run_id,total_requests,cache_hit_ratio,semantic_hit_ratio,exact_hits,semantic_hits,prompt_hits,cache_misses,total_tokens_consumed,total_tokens_saved,token_reduction_pct,avg_latency_ms,median_latency_ms,p95_latency_ms,throughput_rps,total_inference_cost,total_baseline_cost,cost_reduction_pct,cache_efficiency_index,roi,context_efficiency,retrieval_efficiency,cache_entries,memory_consumption,variant
w/o InfluenceRank,4,10000,0.6589,0.4659,1930,4659,0,3411,9435188,10977508,53.77784492553066,40.986140000000354,1.8,121.2,24.39849178283174,73.79328494999987,142.0234899999999,48.04149303048395,1030.3532793732195,9718.402428774933,0.40072375896462475,0.589015,351,0.702,w/o InfluenceRank
w/o PenetrationFactor,0,10000,0.6582,0.4786,1796,4786,0,3418,9726068,10686628,52.352849422731815,41.46397999999983,1.8,121.2,24.117318212096478,74.15126184999995,142.0234899999995,47.78943831756266,1082.1443922461538,10440.881253846082,0.39429216852856014,0.58641,325,0.65,w/o PenetrationFactor
w/o PenetrationFactor,1,10000,0.6551,0.4644,1907,4644,0,3449,9320932,11091764,54.33757500724059,42.154580000000315,1.8,121.2,23.722214762903405,74.08668884999986,142.02349000000012,47.834904740054064,1128.2941919875777,10548.19272515532,0.40321284445631794,0.58544,322,0.644,w/o PenetrationFactor
w/o PenetrationFactor,2,10000,0.6576,0.4859,1717,4859,0,3424,9665736,10746960,52.64841057741712,40.84517999999989,1.8,121.2,24.482692939534175,74.18500255000029,142.02348999999953,47.765681191188484,1080.611757798165,10371.857408256763,0.3956374795659862,0.584715,327,0.654,w/o PenetrationFactor
w/o PenetrationFactor,3,10000,0.6517,0.4729,1788,4729,0,3483,9580657,10832039,53.06520510568521,42.699200000000104,1.8,121.2,23.419642522576478,74.46802104999969,142.02348999999995,47.56640535308651,1082.705493297546,10360.26824386507,0.39752448682569985,0.580765,326,0.652,w/o PenetrationFactor
w/o PenetrationFactor,4,10000,0.6506,0.4641,1865,4641,0,3494,9618725,10793971,52.87871332625539,41.962260000000384,1.8,121.2,23.830937609175265,73.65539649999974,142.0234899999999,48.1385815121148,1067.2579836778114,10389.28776595747,0.396681617421639,0.5809850000000001,329,0.658,w/o PenetrationFactor
Full TokenCacheOps,0,10000,0.6639,0.4757,1882,4757,0,3361,9643673,10769023,52.75649527137425,40.94885999999996,1.8,121.2,24.420704263806147,74.41697905,142.0234899999995,47.60234447836745,1015.5617002414774,9602.19757812493,0.3961279595411091,0.592545,352,0.704,Full TokenCacheOps
Full TokenCacheOps,1,10000,0.6657,0.4723,1934,4723,0,3343,9145184,11267512,55.19854898147701,41.02316000000022,1.8,121.2,24.376474167275138,74.45875054999965,142.02349000000012,47.57293279442747,1062.4338156373938,9569.076409348509,0.40700143587280646,0.5948549999999999,353,0.706,Full TokenCacheOps
Full TokenCacheOps,2,10000,0.6692,0.4908,1784,4908,0,3308,9544746,10867950,53.24112993207757,39.7242599999998,1.8,121.2,25.173533754939804,74.40288075000029,142.02348999999953,47.61227121654274,1021.4651882022473,9496.276580056072,0.39831744191650653,0.59558,356,0.712,Full TokenCacheOps
Full TokenCacheOps,3,10000,0.6618,0.4739,1879,4739,0,3382,9318682,11094014,54.34859755908774,41.13852000000007,1.8,121.2,24.30811803633184,74.9419520499998,142.02348999999995,47.23270632907287,1060.9853273410406,9692.863865606958,0.40326165348919213,0.590715,346,0.692,Full TokenCacheOps
Full TokenCacheOps,4,10000,0.6589,0.4659,1930,4659,0,3411,9435188,10977508,53.77784492553066,40.986140000000354,1.8,121.2,24.39849178283174,73.79328494999987,142.0234899999999,48.04149303048395,1030.3532793732195,9718.402428774933,0.40072375896462475,0.589015,351,0.702,Full TokenCacheOps
