method,run_id,total_requests,cache_hit_ratio,semantic_hit_ratio,exact_hits,semantic_hits,prompt_hits,cache_misses,total_tokens_consumed,total_tokens_saved,token_reduction_pct,avg_latency_ms,median_latency_ms,p95_latency_ms,throughput_rps,total_inference_cost,total_baseline_cost,cost_reduction_pct,cache_efficiency_index,roi,context_efficiency,retrieval_efficiency,cache_entries,memory_consumption
Baseline-B (LFU),2,100000,0.36593,0.0,36593,0,0,63407,128547682,64268504,33.33148805256422,222.33427900033547,350.3,350.3,4.497731993897761,1167.9343652000325,1341.2852200000639,12.92423507060065,235.17773668719997,10.556723653335423,0.292976183572583,0.36593,1500,1.0
Baseline-B (LFU),3,100000,0.36796,0.0,36796,0,0,63204,127734476,65081710,33.75323998992491,221.62438800032794,350.3,350.3,4.512138799447109,1165.6456765000341,1341.285220000083,13.0948690763951,239.474660116,10.709302900003255,0.29558751350336865,0.36796,1500,1.0
Baseline-B (LFU),4,100000,0.36648,0.0,36648,0,0,63352,128505943,64310243,33.35313509416684,222.1419440003345,350.3,350.3,4.501626221468983,1167.7394708000388,1341.2852200000502,12.938765492398769,235.6841785464,10.569716613334094,0.29311068521371336,0.36648,1500,1.0
Baseline-B (LFU),5,100000,0.36672,0.0,36672,0,0,63328,128217466,64598720,33.50274753386108,222.0580160003346,350.3,350.3,4.503327634875803,1167.015234500052,1341.2852200000768,12.992761189153704,236.89642598400002,10.617999033334991,0.2940388892889647,0.36672,1500,1.0
Baseline-B (LFU),6,100000,0.36519,0.0,36519,0,0,63481,128606223,64209963,33.30112701223123,222.59305700033775,350.3,350.3,4.492503106233374,1167.9811147000385,1341.2852200000746,12.92074964488362,234.48836387970002,10.553607020002406,0.292787452146711,0.36519,1500,1.0
Baseline-B (LFU),7,100000,0.36586,0.0,36586,0,0,63414,128206264,64609922,33.50855721210044,222.3587580003325,350.3,350.3,4.497236848204129,1166.9213631000223,1341.285220000054,12.999759805004397,236.3818606292,10.624257126668788,0.29407488369929663,0.36586,1500,1.0
Baseline-B (LFU),8,100000,0.36386,0.0,36386,0,0,63614,128689383,64126803,33.25799785293959,223.05815800033838,350.3,350.3,4.483135738969399,1168.2685543000491,1341.2852200000632,12.89931948254868,233.33178539579998,10.534444380000938,0.292519177770755,0.36386,1500,1.0
Baseline-B (LFU),9,100000,0.36669,0.0,36669,0,0,63331,128219572,64596614,33.501655301905,222.06850700033203,350.3,350.3,4.503114887868836,1167.0380782000166,1341.2852200000666,12.99105806892,236.86932387660002,10.616476120003336,0.29403212185278843,0.36669,1500,1.0
Baseline-B (LFU),10,100000,0.36464,0.0,36464,0,0,63536,128569224,64246962,33.32031575398966,222.7853920003353,350.3,350.3,4.488624640158162,1167.9115329000351,1341.2852200000727,12.92593734090563,234.2701222368,10.558245806669174,0.29290674563033936,0.36464,1500,1.0
Baseline-B (LFU),11,100000,0.36687,0.0,36687,0,0,63313,127958476,64857710,33.63706717028414,222.00556100033208,350.3,350.3,4.5043916715154,1166.2403632000282,1341.2852200000689,13.050531996470644,237.94348067699997,10.669657120002709,0.29487014178321636,0.36687,1500,1.0
Baseline-B (LFU),12,100000,0.36701,0.0,36701,0,0,63299,128141640,64674546,33.5420730705668,221.95660300033074,350.3,350.3,4.505385226131389,1166.8497920000375,1341.285220000074,13.005095814000466,237.3620512746,10.629028533335774,0.2942824627219993,0.36701,1500,1.0
Baseline-B (LFU),13,100000,0.36543,0.0,36543,0,0,63457,128498300,64317886,33.35709897300842,222.50912900033435,350.3,350.3,4.494197629071198,1167.728564800041,1341.2852200000655,12.93957859313591,235.03685080979997,10.570443680001624,0.2931353088194247,0.36543,1500,1.0
Baseline-B (LFU),14,100000,0.36702,0.0,36702,0,0,63298,128142650,64673536,33.5415492556211,221.95310600032977,350.3,350.3,4.505456211090437,1166.7827942000406,1341.2852200000525,13.010090858975175,237.36481182720001,10.633495053334126,0.2942792194358108,0.36702,1500,1.0
Baseline-B (LFU),15,100000,0.36577,0.0,36577,0,0,63423,128657251,64158935,33.27466242901413,222.3902310003353,350.3,350.3,4.496600392480785,1168.128212700039,1341.2852200000668,12.909782700805362,234.6741365495,10.543800486668518,0.29262285981090885,0.36577,1500,1.0
Baseline-B (LFU),16,100000,0.36732,0.0,36732,0,0,63268,128133020,64683166,33.54654364960833,221.84819600032802,350.3,350.3,4.507586800473786,1166.7478000000253,1341.2852200000596,13.012699864092028,237.5942053512,10.635828000002281,0.2943101418328454,0.36732,1500,1.0
