Method,cache_hit_ratio_mean,cache_hit_ratio_median,cache_hit_ratio_std,cache_hit_ratio_ci_low,cache_hit_ratio_ci_high,semantic_hit_ratio_mean,semantic_hit_ratio_median,semantic_hit_ratio_std,semantic_hit_ratio_ci_low,semantic_hit_ratio_ci_high,token_reduction_pct_mean,token_reduction_pct_median,token_reduction_pct_std,token_reduction_pct_ci_low,token_reduction_pct_ci_high,avg_latency_ms_mean,avg_latency_ms_median,avg_latency_ms_std,avg_latency_ms_ci_low,avg_latency_ms_ci_high,throughput_rps_mean,throughput_rps_median,throughput_rps_std,throughput_rps_ci_low,throughput_rps_ci_high,cost_reduction_pct_mean,cost_reduction_pct_median,cost_reduction_pct_std,cost_reduction_pct_ci_low,cost_reduction_pct_ci_high,cache_efficiency_index_mean,cache_efficiency_index_median,cache_efficiency_index_std,cache_efficiency_index_ci_low,cache_efficiency_index_ci_high,roi_mean,roi_median,roi_std,roi_ci_low,roi_ci_high,context_efficiency_mean,context_efficiency_median,context_efficiency_std,context_efficiency_ci_low,context_efficiency_ci_high,retrieval_efficiency_mean,retrieval_efficiency_median,retrieval_efficiency_std,retrieval_efficiency_ci_low,retrieval_efficiency_ci_high
Baseline-A (LRU),0.26597799999999994,0.26595,0.0006968223441526138,0.2657178022604632,0.26623819773953666,0.0,0.0,0.0,0.0,0.0,24.09515888187243,24.099391479509922,0.12200394440931335,24.049601860321296,24.140715903423562,257.26089560033705,257.2706900003371,0.24374845598510686,257.1698784310469,257.3519127696272,3.8871079320205864,3.886956577673722,0.0036833652197817684,3.8857325408435983,3.8884833231975744,9.34703183538275,9.347219363232963,0.047829239362300185,9.329172103888396,9.364891566877105,123.57279852328669,123.5288831731,0.8828200171840498,123.24314811121728,123.9024489353561,7.3580237677793185,7.358191453335242,0.0427684345603443,7.342053771854949,7.373993763703688,0.23050350386809246,0.23053566050827073,0.000898005728188194,0.23016818301834305,0.23083882471784187,0.26597799999999994,0.26595,0.0006968223441526138,0.2657178022604632,0.26623819773953666
Baseline-B (LFU),0.36613466666666666,0.36619500000000005,0.0008701237856183685,0.36580975710537755,0.3664595762279558,0.0,0.0,0.0,0.0,0.0,33.45664082371176,33.448009131349586,0.12032809920389885,33.41170957304458,33.501572074378934,222.26270706700032,222.24160850033377,0.30428228783278033,222.14908619341676,222.37632794058388,4.499188477883051,4.499607977094643,0.006155929373746007,4.496889816077444,4.501487139688657,12.978018015439117,12.973737394200171,0.046980549871848194,12.9604751898087,12.995560841069535,236.19416091402667,236.4106421647,1.3026360976901772,235.70774860118652,236.6805732268668,10.604815832668722,10.60098814333519,0.04200954478039849,10.589129210845307,10.620502454492136,0.29375233889373814,0.293699569719282,0.0007458357568216104,0.2934738392451273,0.29403083854234896,0.36613466666666666,0.36619500000000005,0.0008701237856183685,0.36580975710537755,0.3664595762279558
Baseline-C (Semantic),0.3821666666666667,0.382255,0.000767752354708807,0.38187998322590794,0.3824533501074255,0.2526233333333333,0.25253499999999995,0.001832492806277141,0.25193906927390436,0.25330759739276226,27.6315296994828,27.630785104316914,0.12060882236564187,27.586493625064303,27.6765657739013,218.1882104166667,218.15822,0.2674356392990277,218.08834830776462,218.28807252556877,4.583205710866317,4.58382916436717,0.005616665067321246,4.581108413662065,4.58530300807057,12.224325754022724,12.221816844446003,0.04699888533311805,12.206776081818548,12.2418754262269,203.6119897270933,203.3027448645,1.1739621118278172,203.17362507021528,204.0503543839713,9.930871638891233,9.928628196668843,0.0420259401691827,9.915178894929031,9.946564382853435,0.25568411294475185,0.255679877184405,0.0008305323141558213,0.25537398708187015,0.25599423880763356,0.3442731666666666,0.34425199999999995,0.0007100238258913129,0.3440080394128343,0.34453829392049884
Baseline-D (Prompt),0.17423666666666673,0.17416500000000001,0.0005034319002217911,0.17404868210568414,0.17442465122764933,0.0,0.0,0.0,0.0,0.0,8.682736970363404,8.685753176343816,0.05942982891605805,8.660545507539664,8.704928433187144,289.4851001330247,289.5101639996909,0.17600578196538263,289.4193784939339,289.55082177211546,3.4544104579710697,3.4541101639381186,0.002100203912090271,3.453626228941852,3.4551946870002874,4.463783483725256,4.462963716249006,0.030163935847344815,4.45252008497108,4.475046882479432,17.09398003749138,17.076498003925884,0.169934926019239,17.030525293266262,17.1574347817165,3.678042372590167,3.6785885335916135,0.04136358092988158,3.662596957632659,3.6934877875476753,0.0974272648103152,0.0974581987172427,0.0006018727754932463,0.0972025218223984,0.09765200779823201,0.0058706666666666655,0.005855,0.00022412947817836403,0.0057869753440864735,0.005954357989246858
Baseline-E (No-Opt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,0.0,350.0,350.0,2.857142857142858,2.857142857142857,9.033620566533923e-16,2.8571428571428577,2.8571428571428585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TokenCacheOps,0.5635940000000002,0.563975,0.0018870275841778993,0.5628893723198363,0.564298627680164,0.479875,0.47809,0.010183587454736954,0.4760723859501884,0.4836776140498116,38.66575425018174,38.715184419216754,0.3135189749170707,38.5486843409576,38.782824159405884,52.041734299992314,52.04335799999336,0.2202320327162767,51.959498307465346,52.12397029251928,19.21567994165978,19.21474793602095,0.0813096368820839,19.185318424270438,19.24604145904912,45.62642833217603,45.630915128926134,0.10423084688525176,45.58750789430959,45.66534877004248,549.2111584828921,550.6028223098735,5.10359806693995,547.3054436451499,551.1168733206342,52.327111244963795,52.299588379526625,0.15569777136337135,52.26897274165715,52.38524974827044,0.32463716472268994,0.32492186728012595,0.0017813865661917172,0.3239719840469355,0.3253023453984444,0.49161274999999993,0.49172325,0.00203913037900626,0.4908513262028291,0.49237417379717074
